word, synset, definition
cross, crisscross.n.01, a marking that consists of lines that cross each other
propagation, generation.n.07, the act of producing offspring or multiplying by such production
swinger, swinger.n.02, a person who engages freely in promiscuous sex
chromosome, chromosome.n.01, a threadlike strand of DNA in the cell nucleus that carries the genes in a linear order
vacuum, void.n.02, an empty area or space
rehearsal, rehearsal.n.01, a practice session in preparation for a public performance (as of a play or speech or concert)
pair, couple.n.04, two items of the same kind
spark, sparkle.n.01, merriment expressed by a brightness or gleam or animation of countenance
shade, shade.n.02, a quality of a given color that differs slightly from another color
screen, screen.n.04, a covering that serves to conceal or shelter something
street, street.n.01, a thoroughfare (usually including sidewalks) that is lined with buildings
cluster, bunch.n.01, a grouping of a number of similar things
hike, raise.n.01, the amount a salary is increased
colony, colony.n.01, a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government
prison, prison.n.01, a correctional institution where persons are confined while on trial or for punishment
merchandising, selling.n.01, the exchange of goods for an agreed sum of money
diode, diode.n.01, a thermionic tube having two electrodes; used as a rectifier
fabric, fabric.n.01, artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
scale, plate.n.14, a metal sheathing of uniform thickness (such as the shield attached to an artillery piece to protect the gunners)
packaging, promotion.n.01, a message issued in behalf of some product or cause or idea or person or institution
buddy, buddy.n.01, a close friend who accompanies his buddies in their activities
village, village.n.01, a community of people smaller than a town
weaver, weaver.n.01, a craftsman who weaves cloth
organism, organism.n.01, a living thing that has (or can develop) the ability to act or function independently
qualifier, modifier.n.01, a content word that qualifies the meaning of a noun or verb
opponent, opposition.n.04, a contestant that you are matched against
globe, earth.n.01, the 3rd planet from the sun; the planet we live on
section, part.n.09, one of the portions into which something is regarded as divided and which together constitute a whole
pier, pier.n.01, a platform built out from the shore into the water and supported by piles; provides access to ships and boats
aruba, aruba.n.01, a popular island resort in the Netherlands Antilles
blade, sword.n.01, a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard
panda, giant_panda.n.01, large black-and-white herbivorous mammal of bamboo forests of China and Tibet; in some classifications considered a member of the bear family or of a separate family Ailuropodidae
pocket, pouch.n.02, an enclosed space
amarillo, amarillo.n.01, a city in the northern panhandle of Texas
alteration, change.n.01, an event that occurs when something passes from one state or phase to another
backgammon, backgammon.n.01, a board game for two players; pieces move according to throws of the dice
adhesion, adhesiveness.n.01, the property of sticking together (as of glue and wood) or the joining of surfaces of different composition
meal, meal.n.01, the food served and eaten at one time
steer, tip.n.03, an indication of potential opportunity
grandchild, grandchild.n.01, a child of your son or daughter
pork, pork.n.01, meat from a domestic hog or pig
runway, track.n.09, a bar or pair of parallel bars of rolled steel making the railway along which railroad cars or other vehicles can roll
moo, moo.n.01, the sound made by a cow or bull
thunderbird, thunderbird.n.01, (mythology) the spirit of thunder and lightning believed by some Native Americans to take the shape of a great bird
seat, buttocks.n.01, the fleshy part of the human body that you sit on
falcon, falcon.n.01, diurnal birds of prey having long pointed powerful wings adapted for swift flight
shopping, shopping.n.01, searching for or buying goods or services
editor, editor.n.01, a person responsible for the editorial aspects of publication; the person who determines the final content of a text (especially of a newspaper or magazine)
shutter, shutter.n.01, a mechanical device on a camera that opens and closes to control the time of a photographic exposure
suv, sport_utility.n.01, a high-performance four-wheel drive car built on a truck chassis
nauru, nauru.n.01, an island republic on Nauru Island; phosphate exports support the economy
trainer, trainer.n.01, one who trains other persons or animals
baseline, baseline.n.01, an imaginary line or standard by which things are measured or compared
amenity, agreeableness.n.01, pleasantness resulting from agreeable conditions
audio, audio.n.01, the audible part of a transmitted signal
supermarket, supermarket.n.01, a large self-service grocery store selling groceries and dairy products and household goods
pei, pei.n.01, United States architect (born in China in 1917)
show, appearance.n.06, pretending that something is the case in order to make a good impression
scissors, scissors.n.01, an edge tool having two crossed pivoting blades
motorcycle, motorcycle.n.01, a motor vehicle with two wheels and a strong frame
decoration, decoration.n.02, an award for winning a championship or commemorating some other event
luther, luther.n.01, German theologian who led the Reformation; believed that salvation is granted on the basis of faith rather than deeds (1483-1546)
liner, liner.n.03, a piece of cloth that is used as the inside surface of a garment
lithuanian, lithuanian.n.01, a native or inhabitant of Lithuania
cruiser, cruiser.n.01, a car in which policemen cruise the streets; equipped with radiotelephonic communications to headquarters
thesis, dissertation.n.01, a treatise advancing a new point of view resulting from research; usually a requirement for an advanced academic degree
portion, share.n.01, assets belonging to or due to or contributed by an individual person or group
suriname, suriname.n.01, a republic in northeastern South America on the Atlantic; achieved independence from the Netherlands in 1975
cylinder, cylinder.n.01, a solid bounded by a cylindrical surface and two parallel planes (the bases)
pharmacy, drugstore.n.01, a retail shop where medicine and other articles are sold
ridge, ridge.n.04, a long narrow range of hills
scorpio, scorpio.n.01, (astrology) a person who is born while the sun is in Scorpio
duke, duke.n.01, a British peer of the highest rank
plate, home_plate.n.01, (baseball) base consisting of a rubber slab where the batter stands; it must be touched by a base runner in order to score
caravan, caravan.n.01, a procession (of wagons or mules or camels) traveling together in single file
luncheon, lunch.n.01, a midday meal
film, movie.n.01, a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
anchorage, anchorage.n.01, the condition of being secured to a base
appetizer, appetizer.n.01, food or drink to stimulate the appetite (usually served before a meal or as the first course)
explosion, explosion.n.02, the act of exploding or bursting
soprano, soprano.n.03, the pitch range of the highest female voice
hardwood, hardwood.n.01, the wood of broad-leaved dicotyledonous trees (as distinguished from the wood of conifers)
rome, rome.n.01, capital and largest city of Italy; on the Tiber; seat of the Roman Catholic Church; formerly the capital of the Roman Republic and the Roman Empire
squid, squid.n.01, (Italian cuisine) squid prepared as food
zirconium, zirconium.n.01, a lustrous grey strong metallic element resembling titanium; it is used in nuclear reactors as a neutron absorber; it occurs in baddeleyite but is obtained chiefly from zircon
lunch, lunch.n.01, a midday meal
turbulence, turbulence.n.03, a state of violent disturbance and disorder (as in politics or social conditions generally)
carriage, passenger_car.n.01, a railcar where passengers ride
cargo, cargo.n.01, goods carried by a large vehicle
teddy, chemise.n.01, a woman's sleeveless undergarment
ranger, commando.n.01, a member of a military unit trained as shock troops for hit-and-run raids
sanitation, sanitation.n.02, making something sanitary (free of germs) as by sterilizing
senegal, senegal.n.01, a republic in northwestern Africa on the coast of the Atlantic; formerly a French colony but achieved independence in 1960
calf, calf.n.02, the muscular back part of the shank
part, function.n.03, the actions and activities assigned to or required or expected of a person or group
lagoon, lagoon.n.01, a body of water cut off from a larger body by a reef of sand or coral
laguna, lagoon.n.01, a body of water cut off from a larger body by a reef of sand or coral
physician, doctor.n.01, a licensed medical practitioner
canal, duct.n.01, a bodily passage or tube lined with epithelial cells and conveying a secretion or other substance
grill, grill.n.02, a framework of metal bars used as a partition or a grate
location, placement.n.03, the act of putting something in a certain place
mrna, messenger_rna.n.01, the template for protein synthesis; the form of RNA that carries information from DNA in the nucleus to the ribosome sites of protein synthesis in the cell
door, doorway.n.01, the entrance (the space in a wall) through which you enter or leave a room or building; the space that a door can close
apostle, apostle.n.01, an ardent early supporter of a cause or reform
niger, niger.n.01, an African river; flows into the South Atlantic
dispenser, dispenser.n.01, a container so designed that the contents can be used in prescribed amounts
slam, shot.n.09, an aggressive remark directed at a person like a missile and intended to have a telling effect
mustard, mustard.n.01, any of several cruciferous plants of the genus Brassica
reservoir, reservoir.n.04, anything (a person or animal or plant or substance) in which an infectious agent normally lives and multiplies
biloxi, biloxi.n.01, a member of the Siouan people of southeastern Mississippi
attic, attic.n.03, informal terms for a human head
waterfront, waterfront.n.01, the area of a city (such as a harbor or dockyard) alongside a body of water
inmate, convict.n.01, a person serving a sentence in a jail or prison
scholarship, eruditeness.n.01, profound scholarly knowledge
championship, championship.n.01, the status of being a champion
indicator, index.n.02, a number or ratio (a value on a scale of measurement) derived from a series of observed facts; can reveal relative changes as a function of time
stroller, baby_buggy.n.01, a small vehicle with four wheels in which a baby or child is pushed around
sa, sa.n.01, Nazi militia created by Hitler in 1921 that helped him to power but was eclipsed by the SS after 1943
sudan, sudan.n.01, a republic in northeastern Africa on the Red Sea; achieved independence from Egypt and the United Kingdom in 1956
irrigation, irrigation.n.01, supplying dry land with water by means of ditches etc
nassau, nassau.n.01, the capital of the Bahamas
tenor, tenor.n.05, the general meaning or substance of an utterance
rupert, rupert.n.01, English leader (born in Germany) of the Royalist forces during the English Civil War (1619-1682)
kaiser, kaiser.n.01, the title of the Holy Roman Emperors or the emperors of Austria or of Germany until 1918
shipment, cargo.n.01, goods carried by a large vehicle
hut, hovel.n.01, small crude shelter used as a dwelling
cot, crib.n.01, baby bed with high sides made of slats
beaver, beaver.n.06, a hat made with the fur of a beaver (or similar material)
porch, porch.n.01, a structure attached to the exterior of a building often forming a covered entrance
columnist, columnist.n.01, a journalist who writes editorials
masonry, freemasonry.n.02, Freemasons collectively
hyderabad, hyderabad.n.01, a city in southern Pakistan on the Indus River
kruger, kruger.n.01, Boer statesman (1825-1904)
woodland, forest.n.02, land that is covered with trees and shrubs
honey, beloved.n.01, a beloved person; used as terms of endearment
aaa, abdominal_aortic_aneurysm.n.01, an aneurysm of the abdominal aorta associated with old age and hypertension
amplification, amplification.n.02, the amount of increase in signal power or voltage or current expressed as the ratio of output to input
ram, aries.n.01, (astrology) a person who is born while the sun is in Aries
fluorescence, fluorescence.n.01, light emitted during absorption of radiation of some other (invisible) wavelength
deli, delicatessen.n.02, a shop selling ready-to-eat food products
catalogue, catalog.n.02, a complete list of things; usually arranged systematically
wedding, marriage.n.03, the act of marrying; the nuptial ceremony
tyson, tyson.n.01, United States prizefighter who was world heavyweight champion (born in 1966)
shipping, transportation.n.05, the commercial enterprise of moving goods and materials
leo, leo.n.01, (astrology) a person who is born while the sun is in Leo
heating, heating_system.n.01, utility to warm a building
frog, frog.n.01, any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species
breed, breed.n.01, a special variety of domesticated animals within a species
canopy, canopy.n.01, the transparent covering of an aircraft cockpit
mesa, mesa.n.01, flat tableland with steep edges
patio, patio.n.01, usually paved outdoor area adjoining a residence
everest, everest.n.01, a mountain in the central Himalayas on the border of Tibet and Nepal; the highest mountain peak in the world (29,028 feet high)
comb, comb.n.05, the act of drawing a comb through hair
driver, driver.n.01, the operator of a motor vehicle
jar, jolt.n.01, a sudden jarring impact
boiler, kettle.n.01, a metal pot for stewing or boiling; usually has a lid
cardinal, cardinal.n.03, a variable color averaging a vivid red
ballroom, ballroom.n.01, large room used mainly for dancing
gull, chump.n.01, a person who is gullible and easy to take advantage of
ape, copycat.n.01, someone who copies the words or behavior of another
vitamin, vitamin.n.01, any of a group of organic substances essential in small quantities to normal metabolism
pioneer, pioneer.n.01, someone who helps to open up a new line of research or technology or art
metre, meter.n.04, rhythm as given by division into parts of equal duration
axle, axle.n.01, a shaft on which a wheel rotates
caffeine, caffeine.n.01, a bitter alkaloid found in coffee and tea that is responsible for their stimulating effects
dragon, draco.n.02, a faint constellation twisting around the north celestial pole and lying between Ursa Major and Cepheus
shrub, shrub.n.01, a low woody perennial plant usually having several major stems
loft, loft.n.02, floor consisting of open space at the top of a house just below roof; often used for storage
sahara, sahara.n.01, the world's largest desert (3,500,000 square miles) in northern Africa
nato, north_atlantic_treaty_organization.n.01, an international organization created in 1949 by the North Atlantic Treaty for purposes of collective security
knot, nautical_mile.n.02, a unit of length used in navigation; exactly 1,852 meters; historically based on the distance spanned by one minute of arc in latitude
cell, cellular_telephone.n.01, a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver
bangalore, bangalore.n.01, an industrial city in south central India (west of Chennai)
shore, shore.n.02, a beam or timber that is propped against a structure to provide support
sidewalk, sidewalk.n.01, walk consisting of a paved area for pedestrians; usually beside a street or roadway
nicaragua, nicaragua.n.01, a republic in Central America; achieved independence from Spain in 1821
northumberland, northumberland.n.01, the northernmost county of England; has many Roman remains (including Hadrian's Wall)
vent, release.n.09, activity that frees or expresses creative energy or emotion
basement, basement.n.01, the lowermost portion of a structure partly or wholly below ground level; often used for storage
gear, gearing.n.01, wheelwork consisting of a connected set of rotating gears by which force is transmitted or motion or torque is changed
gateway, gateway.n.01, an entrance that can be closed by a gate
vermont, vermont.n.01, a state in New England
cellphone, cellular_telephone.n.01, a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver
symphony, symphony_orchestra.n.01, a large orchestra; can perform symphonies
leather, leather.n.01, an animal skin made smooth and flexible by removing the hair and then tanning
booth, booth.n.02, small area set off by walls for special use
blackjack, blackjack.n.04, a gambling game using cards; the object is to hold cards having a higher count than those dealt to the banker up to but not exceeding 21
envelope, envelope.n.06, the bag containing the gas in a balloon
retailer, retailer.n.01, a merchant who sells goods at retail
metal, alloy.n.01, a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten
cage, cage.n.01, an enclosure made or wire or metal bars in which birds or animals can be kept
edition, version.n.02, something a little different from others of the same type
row, quarrel.n.01, an angry dispute
jasper, jasper.n.01, an opaque form of quartz; red or yellow or brown or dark green in color; used for ornamentation or as a gemstone
yard, thousand.n.01, the cardinal number that is the product of 10 and 100
eastman, eastman.n.01, United States inventor of a dry-plate process of developing photographic film and of flexible film (his firm introduced roll film) and of the box camera and of a process for color photography (1854-1932)
piece, while.n.01, a period of indeterminate length (usually short) marked by some action or condition
tablespoon, tablespoon.n.01, as much as a tablespoon will hold
clamp, clamp.n.01, a device (generally used by carpenters) that holds things firmly together
silk, silk.n.01, a fabric made from the fine threads produced by certain insect larvae
clyde, clyde.n.01, a river in western Scotland that flows from the southern uplands into the Firth of Clyde; navigable by oceangoing vessels as far as Glasgow
control, command.n.06, great skillfulness and knowledge of some subject or activity
sheet, plane.n.02, (mathematics) an unbounded two-dimensional shape
liver, liver.n.01, large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes
receiver, recipient.n.01, a person who receives something
cousin, cousin.n.01, the child of your aunt or uncle
breadth, width.n.01, the extent of something from side to side
byrd, byrd.n.01, English organist and composer of church music; master of 16th century polyphony; was granted a monopoly in music printing with Thomas Tallis (1543-1623)
paper, composition.n.08, an essay (especially one written as an assignment)
manpower, work_force.n.01, the force of workers available
desktop, background.n.07, (computer science) the area of the screen in graphical user interfaces against which icons and windows appear
telescope, telescope.n.01, a magnifier of images of distant objects
hymn, hymn.n.01, a song of praise (to God or to a saint or to a nation)
pod, pod.n.01, the vessel that contains the seeds of a plant (not the seeds themselves)
nature, nature.n.01, the essential qualities or characteristics by which something is recognized
sphere, sphere.n.01, a particular environment or walk of life
treasury, treasury.n.01, the funds of a government or institution or individual
contributor, subscriber.n.03, someone who contributes (or promises to contribute) a sum of money
instructor, teacher.n.01, a person whose occupation is teaching
spinning, spinning.n.01, creating thread
telecom, telecommunication.n.01, (often plural) systems used in transmitting messages over a distance electronically
adhesive, adhesive_material.n.01, a substance that unites or bonds surfaces together
bethlehem, bethlehem.n.02, a small town near Jerusalem on the West Bank of the Jordan River; early home of David and regarded as the place where Jesus was born
mask, masquerade.n.01, a party of guests wearing costumes and masks
rod, perch.n.02, a linear measure of 16.5 feet
tuna, tuna.n.02, important warm-water fatty fish of the genus Thunnus of the family Scombridae; usually served as steaks
bracket, bracket.n.01, a category falling within certain defined limits
statue, statue.n.01, a sculpture representing a human or animal
abbey, abbey.n.01, a church associated with a monastery or convent
player, actor.n.01, a theatrical performer
dock, bobtail.n.01, a short or shortened tail of certain animals
compressor, compressor.n.01, a mechanical device that compresses gasses
cod, pod.n.01, the vessel that contains the seeds of a plant (not the seeds themselves)
switzerland, switzerland.n.01, a landlocked federal republic in central Europe
clue, hint.n.02, a slight indication
rust, rust.n.03, the formation of reddish-brown ferric oxides on iron by low-temperature oxidation in the presence of water
bark, bark.n.03, a sailing ship with 3 (or more) masts
tweed, flannel.n.03, (usually in the plural) trousers made of flannel or gabardine or tweed or white cloth
cinema, film.n.02, a medium that disseminates moving pictures
rib, rib.n.02, any of the 12 pairs of curved arches of bone extending from the spine to or toward the sternum in humans (and similar bones in most vertebrates)
tavern, tavern.n.01, a building with a bar that is licensed to sell alcoholic drinks
kyrgyzstan, kyrgyzstan.n.01, a landlocked republic in west central Asia bordering on northwestern China; formerly an Asian soviet but became independent in 1991
track, path.n.04, a line or route along which something travels or moves
christchurch, christchurch.n.01, industrial city at the center of a rich agricultural region
fetch, fetch.n.01, the action of fetching
dentistry, dentistry.n.01, the branch of medicine dealing with the anatomy and development and diseases of the teeth
boarding, boarding.n.01, the act of passengers and crew getting aboard a ship or aircraft
libby, libby.n.01, United States chemist who developed a method of radiocarbon dating (1908-1980)
kyoto, kyoto.n.01, a city in central Japan on southern Honshu; a famous cultural center that was once the capital of Japan
tomato, tomato.n.01, mildly acid red or yellow pulpy fruit eaten as a vegetable
elastic, elastic.n.02, a fabric made of yarns containing an elastic material
butcher, bungler.n.01, someone who makes mistakes because of incompetence
hunt, search.n.01, the activity of looking thoroughly in order to find something or someone
taxonomy, taxonomy.n.01, a classification of organisms into groups based on similarities of structure or origin etc
abdominal, abdominal.n.01, the muscles of the abdomen
bruno, bruno.n.02, (Roman Catholic Church) a French cleric (born in Germany) who founded the Carthusian order in 1084 (1032-1101)
hotel, hotel.n.01, a building where travelers can pay for lodging and meals and other services
photo, photograph.n.01, a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material
lawn, lawn.n.01, a field of cultivated and mowed grass
venom, malice.n.01, feeling a need to see others suffer
item, detail.n.01, an isolated fact that is considered separately from the whole
scat, scat.n.01, singing jazz; the singer substitutes nonsense syllables for the words of the song and tries to sound like a musical instrument
fleet, fleet.n.01, group of aircraft operating together under the same ownership
flora, plant.n.02, (botany) a living organism lacking the power of locomotion
motoring, motoring.n.01, the act of driving an automobile
barley, barley.n.01, a grain of barley
lymph, lymph.n.01, a thin coagulable fluid (similar to plasma but) containing white blood cells (lymphocytes) and chyle; is conveyed to the blood stream by lymphatic vessels
amp, ampere.n.02, the basic unit of electric current adopted under the Systeme International d'Unites
brother, buddy.n.01, a close friend who accompanies his buddies in their activities
needle, needle.n.02, a slender pointer for indicating the reading on the scale of a measuring instrument
newfoundland, newfoundland.n.01, a breed of very large heavy dogs with a thick coarse usually black coat; highly intelligent dogs and vigorous swimmers; developed in Newfoundland
launch, launching.n.03, the act of propelling with force
substrate, substrate.n.02, a surface on which an organism grows or is attached
shrine, shrine.n.01, a place of worship hallowed by association with some sacred thing or person
press, press.n.09, the act of pressing; the exertion of pressure
orgy, orgy.n.03, a wild gathering involving excessive drinking and promiscuity
jail, jail.n.01, a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence)
warmth, heat.n.04, the trait of being intensely emotional
span, couple.n.04, two items of the same kind
con, bunco.n.01, a swindle in which you cheat at gambling or persuade a person to buy worthless property
milestone, milestone.n.01, stone post at side of a road to show distances
retailing, retailing.n.01, the activities involved in selling commodities directly to consumers
mediterranean, mediterranean.n.01, the largest inland sea; between Europe and Africa and Asia
saint, ideal.n.02, model of excellence or perfection of a kind; one having no equal
motor, motor.n.01, machine that converts other forms of energy into mechanical energy and so imparts motion
wolf, beast.n.02, a cruelly rapacious person
magazine, cartridge_holder.n.01, a metal frame or container holding cartridges; can be inserted into an automatic gun
neuron, nerve_cell.n.01, a cell that is specialized to conduct nerve impulses
barbuda, barbuda.n.01, an island in Antigua and Barbuda
carnival, carnival.n.03, a traveling show; having sideshows and rides and games of skill etc.
trinity, three.n.01, the cardinal number that is the sum of one and one and one
fluid, fluid.n.01, a substance that is fluid at room temperature and pressure
herb, herb.n.01, a plant lacking a permanent woody stem; many are flowering garden plants or potherbs; some having medicinal properties; some are pests
marsh, marsh.n.01, low-lying wet land with grassy vegetation; usually is a transition zone between land and water
milling, milling.n.01, corrugated edge of a coin
establishment, administration.n.02, the persons (or committees or departments etc.) who make up a body for the purpose of administering something
cancellation, cancellation.n.01, the act of cancelling; calling off some arrangement
cardboard, cardboard.n.01, a stiff moderately thick paper
pizza, pizza.n.01, Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese
nylon, nylon.n.01, a thermoplastic polyamide; a family of strong resilient synthetic fibers
toggle, toggle.n.01, any instruction that works first one way and then the other; it turns something on the first time it is used and then turns it off the next time
junction, articulation.n.02, the shape or manner in which things come together and a connection is made
boo, boo.n.01, a cry or noise made to express displeasure or contempt
steering, steering.n.02, the act of setting and holding a course
vacation, vacation.n.01, leisure time away from work devoted to rest or pleasure
paraguay, paraguay.n.01, a landlocked republic in south central South America; achieved independence from Spain in 1811
leaflet, booklet.n.01, a small book usually having a paper cover
vancouver, vancouver.n.01, English navigator remembered for his exploration of the Pacific coast of North America (1757-1798)
air, tune.n.01, a succession of notes forming a distinctive sequence
bib, bib.n.01, top part of an apron; covering the chest
expedition, dispatch.n.03, the property of being prompt and efficient
combat, fight.n.02, the act of fighting; any contest or struggle
custom, custom.n.02, a specific practice of long standing
mesh, net.n.06, an open fabric of string or rope or wire woven together at regular intervals
petrol, gasoline.n.01, a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum; used mainly as a fuel in internal-combustion engines
vhf, hemorrhagic_fever.n.01, a group of illnesses caused by a viral infection (usually restricted to a specific geographic area); fever and gastrointestinal symptoms are followed by capillary hemorrhage
gnome, gnome.n.01, a legendary creature resembling a tiny old man; lives in the depths of the earth and guards buried treasure
burn, burn.n.01, pain that feels hot as if it were on fire
cheer, cheerfulness.n.01, the quality of being cheerful and dispelling gloom
faa, federal_aviation_agency.n.01, an agency in the Department of Transportation that is responsible for the safety of civilian aviation
goose, fathead.n.01, a man who is a stupid incompetent fool
umbrella, umbrella.n.01, a lightweight handheld collapsible canopy
uzbekistan, uzbekistan.n.01, a landlocked republic in west central Asia; formerly an Asian soviet
biotechnology, biotechnology.n.01, the branch of molecular biology that studies the use of microorganisms to perform specific industrial processes
marley, marley.n.01, Jamaican singer who popularized reggae (1945-1981)
villa, villa.n.01, Mexican revolutionary leader (1877-1923)
lake, lake.n.01, a body of (usually fresh) water surrounded by land
resale, resale.n.01, the selling of something purchased
fender, fender.n.01, a barrier that surrounds the wheels of a vehicle to block splashing water or mud
concentration, concentration.n.02, the spatial property of being crowded together
ottawa, outaouais.n.01, a river in southeastern Canada that flows along the boundary between Quebec and Ontario to the Saint Lawrence River near Montreal
lutheran, lutheran.n.01, follower of Lutheranism
albuquerque, albuquerque.n.01, the largest city in New Mexico; located in central New Mexico on the Rio Grande river
football, football.n.01, any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal
courthouse, courthouse.n.01, a government building that houses the offices of a county government
raid, foray.n.01, a sudden short attack
catalog, catalog.n.01, a book or pamphlet containing an enumeration of things
textbook, textbook.n.01, a book prepared for use in schools or colleges
supper, supper.n.01, a light evening meal; served in early evening if dinner is at midday or served late in the evening at bedtime
caller, caller.n.01, a social or business visitor
pea, pea.n.01, seed of a pea plant used for food
makeup, constitution.n.04, the way in which someone or something is composed
cider, cider.n.01, a beverage made from juice pressed from apples
wheelchair, wheelchair.n.01, a movable chair mounted on large wheels; for invalids or those who cannot walk; frequently propelled by the occupant
hunter, orion.n.02, a constellation on the equator to the east of Taurus; contains Betelgeuse and Rigel
gig, spear.n.02, an implement with a shaft and barbed point used for catching fish
nevada, nevada.n.01, a state in the southwestern United States
allegro, allegro.n.01, a brisk and lively tempo
ballet, ballet.n.01, a theatrical representation of a story that is performed to music by trained dancers
catchment, catchment.n.01, a structure in which water is collected (especially a natural drainage area)
shepherd, sheepherder.n.01, a herder of sheep (on an open range); someone who keeps the sheep together in a flock
charter, charter.n.01, a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation
booklet, booklet.n.01, a small book usually having a paper cover
repertoire, repertoire.n.02, a collection of works (plays, songs, operas, ballets) that an artist or company can perform and do perform for short intervals on a regular schedule
torque, torsion.n.02, a twisting force
cabaret, cabaret.n.01, a spot that is open late at night and that provides entertainment (as singers or dancers) as well as dancing and food and drink
chest, chest_of_drawers.n.01, furniture with drawers for keeping clothes
lebanon, lebanon.n.01, an Asian republic at east end of Mediterranean
aluminium, aluminum.n.01, a silvery ductile metallic element found primarily in bauxite
surgery, operating_room.n.01, a room in a hospital equipped for the performance of surgical operations
bucket, bucket.n.01, a roughly cylindrical vessel that is open at the top
telecommunication, telecommunication.n.01, (often plural) systems used in transmitting messages over a distance electronically
bikini, bikini.n.02, a woman's very brief bathing suit
quarry, prey.n.01, a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence
dozen, twelve.n.01, the cardinal number that is the sum of eleven and one
extension, reference.n.06, the most direct or specific meaning of a word or expression; the class of objects that an expression refers to
liechtenstein, liechtenstein.n.01, a small landlocked principality (constitutional monarchy) in central Europe located in the Alps between Austria and Switzerland
bard, bard.n.01, a lyric poet
illumination, light.n.06, a condition of spiritual awareness; divine illumination
doctorate, doctor's_degree.n.01, one of the highest earned academic degrees conferred by a university
pathway, nerve_pathway.n.01, a bundle of myelinated nerve fibers following a path through the brain
land, state.n.04, a politically organized body of people under a single government
zeppelin, zeppelin.n.01, German inventor who designed and built the first rigid motorized dirigible (1838-1917)
rustic, rustic.n.01, an unsophisticated country person
java, coffee.n.01, a beverage consisting of an infusion of ground coffee beans
chimney, chimney.n.01, a vertical flue that provides a path through which smoke from a fire is carried away through the wall or roof of a building
rotor, rotor.n.01, the rotating armature of a motor or generator
hemisphere, hemisphere.n.01, half of the terrestrial globe
waterway, watercourse.n.03, a conduit through which water flows
bacterium, bacteria.n.01, (microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission; important as pathogens and for biochemical properties; taxonomy is difficult; often considered to be plants
kiwi, kiwi.n.04, nocturnal flightless bird of New Zealand having a long neck and stout legs; only surviving representative of the order Apterygiformes
beam, beam.n.04, a column of light (as from a beacon)
sister, baby.n.05, (slang) sometimes used as a term of address for attractive young women
cheerleader, cheerleader.n.01, an enthusiastic and vocal supporter
terrace, terrace.n.02, a level shelf of land interrupting a declivity (with steep slopes above and below)
tick, check_mark.n.01, a mark indicating that something has been noted or completed etc.
trail, lead.n.03, evidence pointing to a possible solution
statute, legislative_act.n.01, an act passed by a legislative body
foul, foul.n.01, an act that violates the rules of a sport
recruit, recruit.n.02, any new member or supporter (as in the armed forces)
artisan, craftsman.n.03, a skilled worker who practices some trade or handicraft
widget, appliance.n.01, a device or control that is very useful for a particular job
piazza, plaza.n.01, a public square with room for pedestrians
hall, mansion.n.02, a large and imposing house
equipment, equipment.n.01, an instrumentality needed for an undertaking or to perform a service
bamboo, bamboo.n.01, the hard woody stems of bamboo plants; used in construction and crafts and fishing poles
microphone, microphone.n.01, device for converting sound waves into electrical energy
tyrosine, tyrosine.n.01, an amino acid found in most proteins; a precursor of several hormones
expo, exhibition.n.02, a collection of things (goods or works of art etc.) for public display
geology, geology.n.01, a science that deals with the history of the earth as recorded in rocks
pastry, pastry.n.01, a dough of flour and water and shortening
chamber, bedroom.n.01, a room used primarily for sleeping
pistol, pistol.n.01, a firearm that is held and fired with one hand
nephew, nephew.n.01, a son of your brother or sister
paddy, paddy.n.01, (ethnic slur) offensive term for a person of Irish descent
innocence, purity.n.02, the state of being unsullied by sin or moral wrong; lacking a knowledge of evil
sudbury, sudbury.n.01, a city in south central Canada in Ontario; a major nickel mining center
disc, phonograph_record.n.01, sound recording consisting of a disk with a continuous groove; used to reproduce music by rotating while a phonograph needle tracks in the groove
cap, capital.n.08, the upper part of a column that supports the entablature
artery, artery.n.01, a blood vessel that carries blood from the heart to the body
contemporary, contemporary.n.01, a person of nearly the same age as another
